_RAJ2000,_DEJ2000,recno,ATLAS,RAJ2000,DEJ2000,Pwd,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,MJD,pmRA,e_pmRA,pmDE,e_pmDE,HClass,SpType1,SpType2,Gaia-ID,Gmag,u_sdss,g_SDSS,r_sdss,i_sdss,z_SDSS,roundra
36.150601,-26.281076,2241,J022436.14-261651.87,36.150601,-26.281076,0.76459,15.115601,0.00258,15.528047,0.00137,15.950526,0.00171,16.205444,0.00233,16.454967,0.00607,55885.24887,30.8,1.5,22.1,3.5,,*,~,,,15.38147654,15.44692305,15.97285163,16.180444,16.50494792,36.150601
37.113005,-32.710139,2296,J022827.12-324236.50,37.113005,-32.710139,0.99223,13.316412,0.00112,13.683821,6.1E-4,14.086759,6.7E-4,14.367518,9.5E-4,14.600965,0.00196,56193.341458,-64.7,10.7,-199.8,3.8,,WD*,DA2.1,,,13.58273791,13.6036741,14.10967086,14.342518,14.65030288,37.113005
38.376256,-12.272574,2363,J023330.30-121621.26,38.376256,-12.272574,0.99943,16.820242,0.00567,17.142719,0.00254,17.465469,0.00397,17.752306,0.00738,17.981047,0.01583,55858.259258,-35.7,1.1,-40.4,1.6,,,,,,17.08701723,17.0665815,17.4907865,17.727306,18.03019664,38.376256
39.332254,-13.642612,2423,J023719.74-133833.40,39.332254,-13.642612,0.734812,15.626598,0.00345,16.327837,0.0019,16.848177,0.0026,17.163099,0.00393,17.435678,0.01312,55895.202344,25.6,3.8,13.7,5.5,,,,,,15.88958561,16.24182,16.8675668,17.138099,17.48658116,39.332254
39.905782,-31.825475,2459,J023937.38-314931.71,39.905782,-31.825475,0.985471,16.3188,0.00448,16.694746,0.00215,17.038818,0.00301,17.276554,0.0045,17.528418,0.01177,55951.104198,-33.9,1.3,-27.9,1.5,,,,5.0638940540499999E18,16.87,16.58504054,16.6175424,17.06349584,17.251554,17.57849256,39.905782
40.779547,-10.020231,2504,J024307.09-100112.83,40.779547,-10.020231,1.0,16.751209,0.00562,17.035383,0.0025,17.382578,0.00368,17.65432,0.00505,17.883272,0.01415,55891.174552,86.8,2.8,-15.9,2.6,,blu,~,,,17.01836726,16.95802325,17.40716215,17.62932,17.93243008,40.779547
41.472369,-12.705777,2537,J024553.36-124220.79,41.472369,-12.705777,0.891744,14.492277,0.00199,14.851171,8.7E-4,15.322312,0.00131,15.460843,0.00199,15.383542,0.00331,55858.268898,7.9,2.7,-62.9,2.4,,*,~,5.1587317079500001E18,15.011,14.75868806,14.76761395,15.34317777,15.435843,15.42044996,41.472369
42.939556,-13.159514,2608,J025145.49-130934.25,42.939556,-13.159514,0.954844,16.482901,0.00496,16.740438,0.00198,17.013721,0.00305,17.3202,0.00552,17.560066,0.01141,55858.273788,34.8,2.7,4.9,1.6,,*,~,,,16.75032563,16.66677385,17.04052251,17.2952,17.60966064,42.939556
44.590659,-10.807467,2675,J025821.75-104826.88,44.590659,-10.807467,0.871685,16.062761,0.00416,16.297056,0.00192,16.690287,0.00261,16.947226,0.0037,17.176132,0.01094,56186.27385,-18.5,4.3,-28.8,5.9,,WD*,~,,,16.33041805,16.21739445,16.71349007,16.922226,17.22528824,44.590659
44.959746,-25.846596,2694,J025950.33-255047.74,44.959746,-25.846596,0.964557,16.897608,0.00571,17.127958,0.00238,17.389709,0.00343,17.628166,0.00495,17.792938,0.01352,55862.330922,35.0,3.2,-0.6,4.1,,,,5.0731657545700004E18,17.288,17.1653045,17.05487045,17.41685647,17.603166,17.83952888,44.959746
45.09653,-29.916428,2703,J030023.16-295459.14,45.09653,-29.916428,1.0,16.460526,0.00496,17.002373,0.00304,17.443235,0.0036,17.736242,0.00611,17.977877,0.01894,56245.119241,90.9,1.3,4.3,1.9,,,,,,16.72510753,16.9203299,17.46500914,17.711242,18.0275424,45.09653
45.153888,-29.571453,2707,J030036.93-293417.23,45.153888,-29.571453,0.995002,16.567371,0.00538,16.610559,0.00259,16.886925,0.0029,17.109068,0.00428,17.304102,0.01174,56245.119241,51.6,2.5,39.6,1.6,,,,5.0710698105299999E18,16.757,16.83693912,16.5367407,16.91363402,17.084068,17.35190336,45.153888
47.043048,-11.563147,2798,J030810.33-113347.32,47.043048,-11.563147,0.953959,15.346419,0.00284,15.805535,0.00145,16.259129,0.00224,16.545475,0.00341,16.780836,0.00773,56191.353881,62.3,2.4,-23.8,4.1,,WD*,~,,,15.61182784,15.7228553,16.28052118,16.520475,16.83025044,47.043048
49.358766,-33.051372,2919,J031726.10-330304.93,49.358766,-33.051372,0.827489,16.025869,0.00407,16.811808,0.00213,17.228088,0.00357,17.569033,0.00516,17.859241,0.01293,56182.363359,20.9,1.2,21.8,3.3,,WD*,DA,,,16.28800961,16.730994,17.2505996,17.544033,17.91084932,49.358766
49.686168,-12.831857,2945,J031844.68-124954.68,49.686168,-12.831857,0.754869,16.113789,0.00385,16.742857,0.00233,17.160559,0.00303,17.348688,0.00494,17.523737,0.01445,56245.186789,-12.8,1.5,-13.1,1.8,,,,,,16.37749832,16.6619719,17.18302794,17.323688,17.57073896,49.686168
49.846216,-16.368424,2960,J031923.09-162206.32,49.846216,-16.368424,0.981408,17.057211,0.00894,17.076599,0.00283,17.394909,0.00366,17.59153,0.00582,17.792822,0.01524,57275.363071,-34.2,5.4,-22.3,3.1,,,,5.1064246756400005E18,17.237,17.32701712,17.0006835,17.4203597,17.56653,17.84087368,49.846216
50.160765,-28.577291,2976,J032038.58-283438.24,50.160765,-28.577291,0.994703,17.079594,0.00716,17.10523,0.00255,17.395615,0.00346,17.426914,0.00624,17.846664,0.01713,55887.274752,43.4,1.8,-23.0,4.7,,,,5.0601326591300004E18,17.265,17.34933764,17.03071075,17.42190345,17.401914,17.903454,50.160765
52.148483,-20.992836,3133,J032835.63-205934.20,52.148483,-20.992836,0.930634,15.629729,0.00347,16.118416,0.00154,16.420742,0.0020,16.638247,0.00304,16.807112,0.00738,57015.143346,-25.8,0.9,-36.6,4.6,,,,,,15.89484213,16.0432997,16.44667222,16.613247,16.8538666,52.148483
53.890391,-34.833926,3290,J033533.69-345002.13,53.890391,-34.833926,0.706109,14.938446,0.00233,15.54286,0.00108,15.936268,0.00161,16.248852,0.00222,16.492912,0.00622,56274.107836,7.6,5.7,-32.0,7.4,,WD*,DA1.5,4.8611366538299996E18,15.743,15.20240186,15.4631896,15.95946576,16.223852,16.5426744,53.890391
54.440507,-39.263142,3336,J033745.72-391547.31,54.440507,-39.263142,0.998319,16.581364,0.00614,17.014837,0.00282,17.398964,0.00374,17.633183,0.00674,17.822229,0.01609,56677.054023,-5.7,2.8,50.7,0.7,,,,4.8561083122800005E18,17.214,16.84702927,16.93563065,17.42244019,17.608183,17.86979084,54.440507
55.682124,-24.748097,3444,J034243.70-244453.14,55.682124,-24.748097,0.999515,16.823906,0.00839,16.999979,0.00268,17.405964,0.00377,17.659784,0.00519,17.927622,0.01788,56576.362669,-26.2,3.6,-56.3,2.2,,,,,,17.09214527,16.91967975,17.42878445,17.634784,17.97833552,55.682124
56.664798,-24.585908,3532,J034639.55-243509.26,56.664798,-24.585908,0.997273,16.445869,0.00707,16.599936,0.00215,17.006161,0.00303,17.216644,0.00422,17.430429,0.013,56576.364879,-29.7,4.9,-50.1,1.9,,,,,,16.71432833,16.51962475,17.02897425,17.191644,17.4789804,56.664798
57.263988,-14.516479,3573,J034903.35-143059.32,57.263988,-14.516479,0.78388,16.70985,0.0059,17.04637,0.00262,17.428493,0.00349,17.688028,0.00536,17.89237,0.01538,56604.28992,15.8,4.2,-9.7,6.6,,,,5.1107849264399995E18,17.146,16.9764848,16.96726385,17.45202931,17.663028,17.94054368,57.263988
58.043147,-30.423364,3647,J035210.35-302524.11,58.043147,-30.423364,0.983819,16.611713,0.00549,17.076981,0.00271,17.358459,0.00328,17.747831,0.00547,17.833811,0.01851,56245.268708,23.5,3.5,31.0,4.5,,,,4.88760052432E18,17.258,16.87706032,17.0029071,17.38501466,17.722831,17.8772502,58.043147
59.852786,-21.90514,3819,J035924.66-215418.50,59.852786,-21.90514,0.986325,16.379356,0.00571,16.453196,0.00194,16.768757,0.00261,16.972013,0.00367,17.177809,0.00972,56595.348425,11.5,2.6,-54.6,2.2,,,,,,16.6486176,16.37741795,16.79429017,16.947013,17.22604084,59.852786
